,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36
GH123,0.001035443,0.001105094,0,0.001549917,0,0.000430667,0,0,0,0,0.000426141,0,0,0.000366166,0,0,0.001036549,0.000496751,0.005164756,0,0,0.002026938,0,0,0.000262047,0,0.001319261,0.001361109,0.001645811,0.000204487,0.001748531,0.001256795,0.000438347,0.001199533,0.001083248,0.000324921,0.001418963,0,0.00120295,0.001335372,0,0.000442208,0.00032612,0,0,0.000500856,0.000511287,0.001251619,0.00058125,0.000653526,0.000602002,0.003676552,0.001158289,0,0,0.001109558,0.00410147,0,0,0,0,0.000500111,0,0.000347203,0.003433638,0,0.001371817,0.002124616,0,0.001257314,0.001675694,0.000807222
GH125,0.003278904,0.004788743,0,0.0037198,0,0.000861334,0.000641318,0.001058422,0,0,0.000426141,0,0.002281557,0.000732332,0,0,0.002902336,0,0,0,0,0.004560611,0.001746786,0.002503442,0.000786141,0,0.001319261,0.001701386,0,0.001022436,0.002622796,0,0,0.002399067,0.000722165,0.001624606,0.003783901,0.002068908,0,0,0,0,0.000652239,0,0,0,0,0.000938714,0.002034375,0,0.003913011,0.001470621,0.001447861,0,0.001152724,0,0.000683578,0.001128375,0.000568498,0,0.00029493,0.000500111,0.001213548,0.000347203,0.001287614,0,0.002743635,0,0.001342859,0.000502926,0.003351389,0.001614444
GH127,0.006902955,0.005525472,0.003341688,0.007129616,0.004979005,0.006029337,0.008337128,0.006085928,0.004387196,0.00922661,0.009801248,0.001674046,0.009126229,0.006224826,0.005640874,0.009777262,0.008499699,0.009438274,0.010329511,0.003101208,0.005429504,0.004307243,0.004366965,0.005841365,0.011268019,0.005283597,0.005057168,0.008847209,0.011794976,0.01574552,0.006775556,0.005655575,0.005260159,0.005098017,0.00433299,0.005198738,0.010878717,0.014482359,0.003608849,0.014689092,0.003003286,0.000884416,0.006196272,0.004376368,0.002731917,0.004507708,0.006646726,0.019400099,0.00639375,0.007188791,0.006923019,0.016912138,0.007528878,0.00634493,0.004610898,0.004438231,0.006152206,0.005641876,0.005116485,0.003767869,0.008847913,0.00575128,0.00606774,0.006249653,0.010300915,0.003747985,0.006859087,0.002124616,0.015442875,0.005280721,0.002094618,0.004305184
GH128,0.001898313,0.00073673,0.003341688,0.00278985,0,0.001292001,0,0.002910661,0.001754879,0.002406942,0.001704565,0.000837023,0.002933431,0.000366166,0.002820437,0.001833237,0.002695027,0.005464264,0.003098853,0.000775302,0.002413113,0.002280305,0,0,0.001834329,0,0.002858399,0.000680555,0.002468716,0.001635898,0.00240423,0.001256795,0.001753386,0.001499417,0.000722165,0.000974763,0.002837926,0.002068908,0.00120295,0.000667686,0.000858082,0.000884416,0.000652239,0,0.000910639,0.001502569,0.00153386,0.002190334,0.00290625,0.000653526,0.001505004,0.002205931,0.004054011,0.001464215,0.001152724,0.001109558,0,0.002820938,0.001705495,0.000753574,0.001474652,0.002250501,0.001213548,0.000694406,0.00085841,0,0.00548727,0.000708205,0,0.002263166,0.000837847,0.001614444
GH129,0,0,0,0,0,0,0.000641318,0.000264606,0,0.000401157,0,0.001674046,0.000325937,0,0.002115328,0,0.000414619,0,0,0,0,0.000506735,0,0.000834481,0.000786141,0,0,0.000340277,0,0.000204487,0,0,0.000876693,0,0,0,0,0,0,0,0.001287123,0,0,0,0,0,0,0,0,0,0,0,0.000289572,0,0,0,0.000683578,0,0,0,0.000589861,0,0,0,0.001716819,0,0,0,0,0.000754389,0,0
GH13,0.038483973,0.030205916,0.058479532,0.025728616,0.036512705,0.045650695,0.029500606,0.04895203,0.029832936,0.03530181,0.049858521,0.038503068,0.034549295,0.035884291,0.038781007,0.040942284,0.035657276,0.022353806,0.034087388,0.044192213,0.030767189,0.028377132,0.044543041,0.039220595,0.044810029,0.021134388,0.034960422,0.054104084,0.037853644,0.047645534,0.030599287,0.03456185,0.04076623,0.032687285,0.044052068,0.049712932,0.066691262,0.055860528,0.040900288,0.052079508,0.033894233,0.042894162,0.043047783,0.056892779,0.061923452,0.044075369,0.039880359,0.082919777,0.056381254,0.058817379,0.033712093,0.062501379,0.04575241,0.059056655,0.034581734,0.043272751,0.047850488,0.067138328,0.068788303,0.034664396,0.050138175,0.084518805,0.03761999,0.041664352,0.0446373,0.049973139,0.053500878,0.058072832,0.058414352,0.049538188,0.041054515,0.051393131
GH13_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000611079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GH13_10,0.001898313,0.00073673,0,0,0.002489503,0.001292001,0.001282635,0.00238145,0.000877439,0.001604628,0.000426141,0.000837023,0.001303747,0.000732332,0.001410218,0.001833237,0.001451168,0.000993502,0.001032951,0.000775302,0.000603278,0.001266836,0.001746786,0.003337923,0.000262047,0,0.000879507,0.000680555,0.000548604,0.001635898,0.001529964,0,0.000438347,0.001499417,0.002166495,0.000649842,0.000472988,0.002068908,0.00120295,0.001335372,0,0.000884416,0.001304478,0.001094092,0.000455319,0.002003426,0.002556433,0.000938714,0.00058125,0.000653526,0.001806005,0.001470621,0.001447861,0.001464215,0,0,0,0,0.001136997,0.002260721,0.00029493,0.000250056,0,0.000694406,0.00085841,0,0,0,0.001342859,0.000754389,0.002513542,0.000807222
GH13_11,0.030718149,0.029837551,0.031746032,0.030378366,0.037342539,0.033161354,0.037196416,0.027518979,0.045626843,0.03409834,0.026846896,0.032643905,0.020859952,0.028927133,0.028204369,0.02688747,0.026950266,0.017386294,0.030988534,0.031012079,0.034990136,0.032177641,0.031442146,0.026703384,0.026204695,0.023776187,0.030562885,0.030284676,0.027430176,0.026378858,0.031910685,0.020108713,0.027615833,0.031787635,0.03574717,0.034116718,0.035474076,0.026206174,0.03368259,0.032716614,0.026171496,0.048642864,0.035873153,0.041575492,0.035514921,0.033557383,0.034256206,0.033793721,0.028771877,0.033329848,0.028595079,0.036030207,0.03011551,0.039533794,0.035734458,0.033286732,0.033495341,0.033851258,0.032972905,0.031650101,0.025069087,0.033757511,0.038833538,0.027429032,0.027469108,0.029983884,0.028808165,0.031869237,0.032900038,0.035204804,0.036446355,0.033634248
GH13_13,0,0,0,0,0,0.000430667,0,0.000529211,0,0,0.001278424,0.000837023,0,0.000732332,0,0,0.00020731,0,0,0.001550604,0.004222947,0.000506735,0.000873393,0,0,0,0.001539138,0.000340277,0,0.001226924,0.000437133,0,0.002191733,0,0,0.000649842,0.001891951,0.000689636,0,0.004006116,0.000429041,0.001326624,0.00032612,0,0.000455319,0,0.002045147,0.001564524,0,0,0,0.00073531,0.001447861,0,0,0,0,0,0,0,0,0.000250056,0,0,0.00085841,0,0,0.001416411,0.000671429,0,0.001256771,0
GH13_14,0.000517722,0.000368365,0,0.000619967,0,0.000430667,0,0.000793817,0,0,0.001278424,0.000837023,0,0,0,0.000611079,0,0,0,0.000775302,0,0,0,0,0.000524094,0.002641799,0.000439754,0.000340277,0.002194414,0.000204487,0.000655699,0.000628397,0.000876693,0.000299883,0.000361083,0.000324921,0.001418963,0,0,0.000667686,0.000858082,0.000442208,0.000978359,0.002188184,0,0.000500856,0.001022573,0.000312905,0,0,0,0.001470621,0,0,0,0,0,0.000564188,0,0.000753574,0.001179722,0.001000223,0,0.000347203,0.000429205,0,0,0,0,0,0.000418924,0
GH13_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000564188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GH13_16,0.025540933,0.03131101,0.043441938,0.036268049,0.035682871,0.035745355,0.040403004,0.044718341,0.040362207,0.038511066,0.02812532,0.036829021,0.029334307,0.019772977,0.040896335,0.039720126,0.028816054,0.034772587,0.02685673,0.023259059,0.045245866,0.033697844,0.028821968,0.026703384,0.026204695,0.013208993,0.034300792,0.020076358,0.029898892,0.034762836,0.033003517,0.030791466,0.028492526,0.029388568,0.02852552,0.025018927,0.02033847,0.023447629,0.021653093,0.019362894,0.03732656,0.009286365,0.019893294,0.020787746,0.020489377,0.030051388,0.027098193,0.022529147,0.025575002,0.023526951,0.035518098,0.016912138,0.03532781,0.02245129,0.02074904,0.019972039,0.01298799,0.020310755,0.011938466,0.013564329,0.030672766,0.010002225,0.020630317,0.010068885,0.026610698,0.001249328,0.037039069,0.020537953,0.025514315,0.024140437,0.035189584,0.024485732
GH13_17,0,0,0,0,0,0,0,0,0,0,0,0.001674046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000722165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GH13_18,0.001208017,0.00073673,0.005012531,0.001549917,0.003319337,0.002584002,0.003847905,0.001323028,0.000877439,0.002005785,0.002130706,0.003348093,0.002933431,0.001830831,0.000705109,0.000611079,0.002902336,0.003477259,0.007230658,0.001550604,0.002413113,0.000506735,0.002620179,0.000834481,0.001572282,0,0.000879507,0.004423604,0.004937432,0.003680771,0.000437133,0.000628397,0.003506772,0.001499417,0.002166495,0.00292429,0.004729877,0.007585998,0,0.005341488,0.003003286,0.001768831,0.001630598,0.002188184,0.005463834,0.001502569,0.005624153,0.010638764,0.006684375,0.002614106,0.000903002,0.005147172,0.003474867,0.002440358,0.002305449,0.002219115,0.003417892,0.003385126,0.000568498,0.000753574,0.000589861,0.002750612,0.001213548,0.001388812,0.001287614,0.001249328,0.002743635,0.002124616,0.002014288,0.003017555,0,0.003228888
GH13_19,0.001208017,0.001473459,0,0.001239933,0,0.001722668,0.001282635,0.000529211,0,0.000401157,0.001278424,0,0,0.002563164,0.000705109,0,0.001658478,0.000496751,0,0.000775302,0,0.000506735,0.002620179,0,0.001310235,0,0.002638522,0.003402773,0.000274302,0,0.001529964,0.000628397,0.00131504,0.00089965,0.00144433,0.001299685,0.000472988,0.001379272,0.00120295,0.000667686,0.000429041,0.000442208,0.000978359,0,0.003642556,0.000500856,0,0,0.00058125,0.001960579,0.001806005,0.001470621,0.000579144,0.001952286,0.003458173,0.001109558,0.000683578,0.002256751,0.002273993,0.001507148,0.000589861,0.001750389,0.002427096,0.001736015,0.00085841,0.003747985,0.002743635,0.002832821,0.003357147,0.000754389,0.000837847,0.002152592
GH13_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000506735,0,0,0,0,0,0,0,0,0.000437133,0,0,0.000299883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GH13_20,0,0,0.003341688,0,0.003319337,0.002584002,0.000641318,0.000529211,0.004387196,0.000802314,0,0.00251107,0.001303747,0.00292933,0.001410218,0.001833237,0.000414619,0.000496751,0.002065902,0,0.001206556,0.000506735,0,0.000834481,0.000262047,0,0.00351803,0.002381941,0.001645811,0.001431411,0.000218566,0,0.003945119,0.00089965,0.001805413,0.002599369,0.005202864,0.006206725,0.002405899,0.004673802,0.002145205,0.001326624,0.000978359,0,0.002276597,0.000500856,0.00306772,0.006258096,0.006103125,0.003921159,0.000301001,0.001470621,0.004343583,0.002440358,0,0,0.000683578,0.001692563,0.001705495,0.002260721,0.000589861,0.003500779,0,0.001388812,0,0.002498657,0.00548727,0.000708205,0.008057152,0.001257314,0.001675694,0.006457776
GH13_21,0.000172574,0.00073673,0,0.000619967,0,0.002153335,0,0.001587633,0,0.000802314,0.000426141,0.000837023,0,0.002196997,0.002115328,0.000611079,0.000621929,0.000993502,0,0,0.001809835,0.000760102,0.002620179,0,0,0,0.003957784,0,0.001371509,0.000204487,0.001529964,0.001885192,0.000438347,0.001199533,0.001805413,0.001949527,0.000472988,0,0.00120295,0.000667686,0,0,0,0,0.000455319,0,0,0.001251619,0.00058125,0.000653526,0.001204003,0,0.000868717,0.000488072,0.002305449,0,0.001367157,0,0,0,0,0,0,0,0.00085841,0,0,0,0.002014288,0.000251463,0.001675694,0.00134537
GH13_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000289572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GH13_23,0.011735023,0.013629499,0.020050125,0.010539433,0.014937016,0.015073343,0.009619763,0.011378039,0.017548786,0.012435865,0.008522824,0.015066418,0.017274647,0.007323325,0.008461311,0.009777262,0.015548231,0.011425279,0.010329511,0.006977718,0.007239339,0.009881323,0.020088038,0.006675846,0.005240939,0.007925396,0.012532982,0.013270813,0.008229053,0.009201927,0.007868388,0.010054356,0.010520317,0.006597434,0.010832476,0.00877287,0.015608593,0.010344542,0.007217698,0.010682976,0.012013146,0.003095455,0.008152989,0.006564551,0.005008514,0.013022268,0.007158013,0.012829098,0.011915626,0.008495844,0.015050041,0.004411862,0.011003744,0.006833001,0.013832694,0.002219115,0.012304411,0.003385126,0.010232971,0.005275017,0.007078331,0.007751725,0.00606774,0.003819232,0.010300915,0.009994628,0.008230904,0.003541026,0.007385723,0.011818756,0.010892014,0.006995924
GH13_26,0.036758234,0.038678307,0.028404344,0.037507982,0.032363534,0.035314688,0.035272464,0.03757399,0.039484768,0.032894869,0.025994614,0.034317952,0.02705275,0.028927133,0.040896335,0.034831495,0.028816054,0.022353806,0.034087388,0.024809663,0.044642588,0.041045495,0.033188932,0.03337923,0.026466742,0.031701582,0.031442392,0.029604121,0.032367608,0.037830145,0.035844879,0.029534672,0.016657169,0.037185535,0.032497427,0.029242901,0.023176396,0.030343991,0.020450144,0.021365952,0.027458619,0.027859095,0.032285837,0.030634573,0.034148962,0.042572799,0.028120766,0.032855006,0.025284377,0.032022795,0.038227105,0.030147724,0.038513105,0.037093436,0.035734458,0.032177174,0.03417892,0.03328707,0.03126741,0.029389379,0.028018392,0.018254062,0.026698057,0.022915394,0.030473542,0.022487913,0.0315518,0.031161032,0.026857174,0.038473821,0.035189584,0.029329064
GH13_27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000775302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000312905,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000250056,0,0,0,0,0,0,0,0,0,0
GH13_29,0.000690295,0.001473459,0.006683375,0.00092995,0.000829834,0.001722668,0.001282635,0.000529211,0,0.000401157,0.000852282,0.003348093,0,0.000366166,0.000705109,0.002444315,0.000621929,0.001987005,0,0.003101208,0,0,0.003493572,0.001668961,0.000262047,0,0.000219877,0.002041664,0.000822905,0.000613462,0,0,0,0.00089965,0.001805413,0.000324921,0.002364938,0,0.006014748,0.002670744,0.001716164,0.002211039,0,0,0,0.002003426,0.002045147,0,0.001453125,0.003267632,0,0,0.000868717,0,0.005763622,0.001109558,0.002734314,0.000564188,0.001705495,0.003014295,0.001179722,0.000750167,0,0.001041609,0,0,0.00548727,0,0.000671429,0,0.000418924,0.00134537
GH13_3,0.015531648,0.023206984,0.016708438,0.021698833,0.033193368,0.024117348,0.023087431,0.019580812,0.016671346,0.014040493,0.016193366,0.022599627,0.017600584,0.016111315,0.023268604,0.020165602,0.019901735,0.021360304,0.014461316,0.014730738,0.021114737,0.025083358,0.017467859,0.012517211,0.012578254,0.015850791,0.018689534,0.024499963,0.012892183,0.014723083,0.020763802,0.014453137,0.010958664,0.023091018,0.015526549,0.012347003,0.009932741,0.00896527,0.014435396,0.008679918,0.015016432,0.007075326,0.015653739,0.012035011,0.011382987,0.015025694,0.010225733,0.006883906,0.016565626,0.01829874,0.016254045,0.009559034,0.014189039,0.011713717,0.017290867,0.015533808,0.024608822,0.014104691,0.008527476,0.01582505,0.0135668,0.003750835,0.009708384,0.005555247,0.015880578,0.006246642,0.027436348,0.014872311,0.004700005,0.021122882,0.02429757,0.013453699
GH13_30,0.057639673,0.061516926,0.068504595,0.049907315,0.05144972,0.057278702,0.041685639,0.052921113,0.056156114,0.041720321,0.048580098,0.058591625,0.055409246,0.053826437,0.050767864,0.039720126,0.042083878,0.058119896,0.056812313,0.060473554,0.058517987,0.054727326,0.058517328,0.042558518,0.041403419,0.055477769,0.069261214,0.046277707,0.03730504,0.045805148,0.054423018,0.043987809,0.055670013,0.046182035,0.050551554,0.056211355,0.059123459,0.051722711,0.057741582,0.050744136,0.044620256,0.042451954,0.043700022,0.041575492,0.050995784,0.043574512,0.050106092,0.055697058,0.047371878,0.05489622,0.051772142,0.041177379,0.05096471,0.051735582,0.046108979,0.038834521,0.047166909,0.050776886,0.056849837,0.048228725,0.038930818,0.047260515,0.038833538,0.044094773,0.045066505,0.058718439,0.056244513,0.048866163,0.0503572,0.043503079,0.067865626,0.054891092
GH13_31,0.004314347,0.008840756,0.008354219,0.0111594,0.003319337,0.007752005,0.001923953,0.005556717,0.002632318,0.00521504,0.003835271,0.003348093,0.007496545,0.007689491,0.001410218,0.004277552,0.010987416,0.006457766,0.003098853,0.002325906,0.004826226,0.009627956,0.001746786,0.008344807,0.007075268,0,0.003298153,0.002722218,0.006308941,0.005930131,0.006119857,0.002513589,0.003945119,0.008696617,0.00433299,0.00292429,0.004256889,0.006206725,0.007217698,0.007344546,0.00471945,0.001768831,0.003261196,0.004376368,0.003187236,0.005509421,0.00460158,0.005006477,0.016565626,0.006535264,0.007826022,0.004411862,0.006949733,0.004392644,0.005763622,0.006657346,0.002734314,0,0.001136997,0.002260721,0.008847913,0.003750835,0.001213548,0.002777623,0.004721253,0,0.009602722,0.004249232,0.003357147,0.015842162,0.002094618,0.002152592
GH13_32,0.002761182,0.003683648,0.005012531,0.004339767,0.002489503,0.003014669,0.003847905,0.005292111,0.002632318,0.002406942,0.002982988,0.00251107,0.005214988,0.005126327,0.005640874,0.002444315,0.004560814,0.006457766,0.001032951,0.006202416,0.004222947,0.00557408,0.002620179,0.000834481,0.000786141,0.002641799,0.006816183,0.002041664,0.001097207,0.003271796,0.003059929,0.001885192,0.003945119,0.004198367,0.002527578,0.00292429,0.003310914,0.001379272,0.002405899,0,0.003003286,0.000884416,0.001956717,0.004376368,0.000910639,0.002504282,0.002556433,0.000312905,0.003778125,0.001960579,0.005117014,0.003676552,0.004922728,0.001952286,0,0,0.000683578,0.002256751,0.000568498,0.000753574,0.001769583,0.001750389,0.001213548,0.001736015,0.003433638,0,0.002743635,0,0.001342859,0.002514629,0.007959549,0.003228888
GH13_33,0.000172574,0.000368365,0,0.000309983,0.000829834,0.002584002,0,0.000264606,0.001754879,0.000802314,0,0,0.00097781,0,0,0,0.001036549,0.000496751,0,0,0,0.000253367,0,0.000834481,0.000786141,0,0.000439754,0,0.000548604,0,0,0.000628397,0.000438347,0,0,0,0.001418963,0,0,0,0.000429041,0,0,0,0,0,0.00153386,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00029493,0,0,0,0.001716819,0,0,0,0,0.000251463,0,0
GH13_36,0.003451477,0.006998932,0.006683375,0.005269716,0,0.003876002,0.001282635,0.004233689,0.000877439,0.001203471,0.004687553,0.000837023,0.00195562,0.005492494,0.001410218,0.001833237,0.002280407,0.000496751,0.001032951,0.000775302,0.000603278,0.004307243,0.006113751,0.002503442,0.001310235,0,0.003737907,0.004083327,0.004388828,0.005725644,0.00415276,0,0.004383466,0.003898483,0.00144433,0.001624606,0.006621827,0,0.003608849,0.005341488,0.003003286,0.001768831,0.001956717,0.004376368,0.002276597,0.002504282,0.00460158,0.005319382,0.004359375,0.001307053,0.004816013,0.002205931,0.005791444,0.003904572,0.002305449,0,0.002050735,0.003385126,0.00341099,0.000753574,0.001179722,0.004250946,0.004854192,0.001388812,0.001716819,0.001249328,0.001371817,0.001416411,0.003357147,0.003017555,0.002932465,0.001883518
GH13_37,0,0,0,0,0,0,0,0,0,0,0.000426141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GH13_38,0,0,0,0.000309983,0,0,0,0.000264606,0,0,0.002130706,0,0.000325937,0,0.000705109,0,0.00020731,0,0,0,0.000603278,0,0,0,0.000262047,0,0,0,0.000274302,0,0.000437133,0.000628397,0,0,0,0.000649842,0.001418963,0.000689636,0,0.000667686,0,0.000884416,0,0,0.000910639,0,0.000511287,0.001251619,0.00058125,0,0.000301001,0,0.000579144,0.000488072,0,0,0,0.002820938,0.000568498,0,0.00029493,0.000500111,0,0.000347203,0,0,0.001371817,0,0.000671429,0.000754389,0,0.001076296
GH13_39,0.000172574,0,0.001670844,0.00092995,0,0,0,0,0,0,0,0,0,0.000366166,0.000705109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000437133,0,0,0,0,0.000974763,0.000472988,0,0,0,0,0,0.00032612,0,0,0,0,0,0,0,0,0,0.000579144,0,0,0,0,0,0,0,0,0.000500111,0,0,0,0,0,0,0,0,0,0.000269074
GH13_4,0.000517722,0,0,0.000309983,0.000829834,0.000430667,0.000641318,0.00238145,0.003509757,0.001604628,0.002130706,0,0.003585304,0.001830831,0,0.002444315,0.00020731,0.002980507,0.002065902,0.001550604,0.001206556,0.000760102,0,0,0.000524094,0,0.003957784,0.001361109,0.001645811,0.001840385,0.000218566,0,0.00131504,0.000599767,0.001083248,0.000974763,0.003783901,0.002758545,0.002405899,0.002670744,0.001287123,0,0.001630598,0,0.004553195,0.000500856,0.00153386,0.002190334,0.001453125,0.000653526,0.000602002,0.002941241,0,0,0,0,0,0,0.001705495,0,0,0.002000445,0,0,0.001287614,0,0.00548727,0,0.002014288,0.000251463,0,0.00134537
GH13_40,0.001035443,0.00073673,0,0.001239933,0.002489503,0.000430667,0.001923953,0.001587633,0.001754879,0.002808099,0,0.00251107,0.00097781,0.002196997,0.001410218,0.001222158,0.001036549,0.001490254,0,0.001550604,0.000603278,0.001013469,0,0.003337923,0.001834329,0.002641799,0.002418646,0.000680555,0.002468716,0.000408975,0.001748531,0.001885192,0.000876693,0.003298717,0.002166495,0.000649842,0.000472988,0.000689636,0,0,0.003003286,0.000442208,0.000652239,0,0,0.000500856,0.001022573,0.000312905,0.0011625,0.001307053,0.001204003,0,0.001447861,0.001464215,0.002305449,0.001109558,0.002050735,0.000564188,0.000568498,0.000753574,0.002359444,0.000750167,0,0.001736015,0.002146024,0,0,0.000708205,0,0.001257314,0.001675694,0.000807222
GH13_41,0,0,0,0,0,0,0,0,0,0,0.000852282,0,0,0.000366166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000817949,0,0,0,0,0,0.000649842,0.000472988,0,0,0,0,0.000884416,0.000978359,0.001094092,0.001365958,0.001001713,0.00153386,0.000938714,0,0.000653526,0,0.00073531,0.000289572,0.000488072,0,0,0,0.002256751,0.003979489,0,0.00029493,0.001000223,0,0.000694406,0.000429205,0.002498657,0,0,0.000671429,0.000502926,0,0.000538148
GH13_5,0.000862869,0.001473459,0,0.000309983,0,0,0,0.000793817,0.000877439,0,0,0.000837023,0,0.000366166,0,0,0.000621929,0,0,0.000775302,0,0,0,0,0.001048188,0,0,0.001361109,0.000274302,0.000204487,0,0.001256795,0.000876693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000312905,0,0,0.001204003,0.001470621,0.000289572,0,0,0.002219115,0,0,0,0.000753574,0.00029493,0,0,0,0.001287614,0.001249328,0,0.000708205,0.000671429,0,0,0
GH13_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00020731,0,0,0,0,0.000253367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000269074
GH13_7,0.000690295,0.000368365,0,0.000309983,0,0,0,0.000264606,0,0.001604628,0.000852282,0.000837023,0,0.001830831,0,0.000611079,0.000414619,0,0,0.000775302,0,0.001013469,0.000873393,0,0.000262047,0.002641799,0,0.000680555,0.000274302,0.001022436,0.001092832,0.001256795,0.00131504,0.000599767,0.002166495,0.003574132,0.002837926,0.004137817,0.00120295,0.005341488,0,0.002653247,0.00032612,0.001094092,0.002276597,0.000500856,0.000511287,0.005632287,0.007846875,0.005881738,0.000903002,0,0.002895722,0.00634493,0,0,0.003417892,0.001128375,0,0.001507148,0.000884791,0.003250723,0,0.000347203,0.000429205,0.001249328,0,0.002124616,0,0.002514629,0.000837847,0.006188702
GH13_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00020731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000649842,0.000945975,0.003448181,0,0,0.000429041,0.001326624,0,0,0.002276597,0,0,0.001251619,0,0,0,0.00073531,0,0.000488072,0,0,0.002050735,0.002820938,0.001136997,0.000753574,0,0.000750167,0,0.000694406,0,0.002498657,0,0,0.002014288,0,0,0.00134537
GH13_9,0.000172574,0,0,0.000309983,0,0,0,0,0.000877439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000204487,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001094092,0,0.000500856,0,0,0,0,0,0,0,0.000976143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000251463,0,0.000269074
GH130,0.026231228,0.031679375,0.011695906,0.036268049,0.029044197,0.027993351,0.027576653,0.037309385,0.027200618,0.026075201,0.038352709,0.030132836,0.034549295,0.04284145,0.040191226,0.02688747,0.044778904,0.037256344,0.037186241,0.024809663,0.019304903,0.029643968,0.022708217,0.031710268,0.028301071,0.026417985,0.029023747,0.034027726,0.025784366,0.034967323,0.026883659,0.022622302,0.035944418,0.031187868,0.024192529,0.035741324,0.043987854,0.040688533,0.022856043,0.034051986,0.03260711,0.022994808,0.028046283,0.031728665,0.030506406,0.036061665,0.031188486,0.059451916,0.056090629,0.034636901,0.034314094,0.032353655,0.046621127,0.038069579,0.027665387,0.027738943,0.034862498,0.027081006,0.028424918,0.02562151,0.032147418,0.034507678,0.016989673,0.023609799,0.033477975,0.01624127,0.021949078,0.03895129,0.04028576,0.030427009,0.020946181,0.038746653
GH131,0.004314347,0.001841824,0.006683375,0.000309983,0.003319337,0.003876002,0.000641318,0.004498295,0.001754879,0.003610412,0.002556847,0.003348093,0.00097781,0.000366166,0.000705109,0.001222158,0.000829239,0.000496751,0.003098853,0,0.001809835,0,0.006113751,0.004172404,0.00262047,0.002641799,0.003737907,0.005444436,0.002468716,0.00449872,0.001529964,0.004398781,0.003506772,0.000599767,0.00144433,0.00292429,0.005202864,0.000689636,0.004811799,0.002670744,0.003432327,0,0.003261196,0.00547046,0.002731917,0.002504282,0.00306772,0.001877429,0.000290625,0.001960579,0.002709007,0.003676552,0.00260615,0.001952286,0.001152724,0.001109558,0,0.002820938,0.005684984,0,0.001769583,0.002750612,0.00606774,0.001736015,0.003004434,0.004997314,0.002743635,0,0.001342859,0.000502926,0.003351389,0.001076296
