,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36
GT9,0.090773856,0.084723911,0.08855472,0.092065047,0.082153586,0.104221397,0.087219183,0.09605182,0.070195142,0.101091548,0.083523676,0.072821019,0.074639514,0.075064079,0.07262625,0.090439671,0.080850799,0.065074413,0.096064456,0.075979594,0.065757325,0.104894042,0.074238401,0.097634247,0.100101936,0.08982115,0.060026385,0.09187486,0.103686067,0.105719918,0.10141478,0.090489207,0.085477579,0.112756138,0.090270631,0.102350154,0.077096991,0.098617969,0.115483165,0.072777774,0.087095307,0.107456509,0.108597816,0.098468271,0.0910639,0.10618157,0.090497738,0.097000494,0.074400005,0.114367125,0.080367221,0.097060965,0.098454553,0.113720667,0.080690712,0.104298427,0.099118867,0.105503086,0.098350218,0.110021778,0.10735468,0.093770864,0.065531595,0.114229765,0.077256866,0.091200979,0.11523266,0.123935922,0.124214428,0.105614412,0.084203647,0.090408858
GT90,0.006040085,0.005157108,0.006683375,0.007749583,0.007468508,0.00559867,0.004489223,0.008731984,0.007896954,0.006017354,0.008522824,0.005859162,0.006518735,0.005126327,0.002115328,0.003055394,0.005804673,0.004967512,0.008263609,0.00387651,0.007842617,0.006334181,0.006987144,0.005006884,0.005502986,0.002641799,0.008135444,0.008506931,0.008503355,0.005521156,0.003497061,0.006283973,0.009205278,0.006597434,0.005055155,0.005198738,0.004256889,0.003448181,0.006014748,0.00333843,0.0094389,0.008401949,0.008805228,0.003282276,0.006829792,0.008013703,0.0076693,0.003441953,0.00755625,0.003267632,0.006321017,0.004411862,0.007239305,0.007321073,0.004610898,0.006657346,0.007519362,0.003949313,0.005116485,0.010550034,0.004423957,0.004501001,0.002427096,0.010416088,0.006438072,0.006246642,0.00548727,0.007082053,0.004028576,0.005783646,0.007959549,0.00269074
GT92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000340277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00032612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT94,0.000517722,0.000368365,0,0.000309983,0.000829834,0.002584002,0,0.000264606,0,0.000401157,0.000426141,0.000837023,0.000325937,0,0,0,0.000829239,0,0.002065902,0.000775302,0.000603278,0,0.000873393,0,0,0,0.000439754,0,0.000274302,0,0.000437133,0,0,0,0,0.000324921,0.000945975,0,0,0,0.000858082,0,0,0,0,0,0.000511287,0,0,0,0.000602002,0,0,0,0,0,0.000683578,0,0,0,0.00029493,0,0,0,0.000429205,0,0,0,0,0.000251463,0.000418924,0
GT95,0.007248103,0.010314215,0.010025063,0.008679533,0.016596684,0.012489341,0.01282635,0.017199362,0.014916468,0.017650905,0.020028637,0.012555348,0.010104039,0.015745148,0.00916642,0.020165602,0.010158177,0.012915532,0.007230658,0.017056644,0.007842617,0.012668363,0,0.01084825,0.014150535,0.002641799,0.017370273,0.00374305,0.010697769,0.013291672,0.012458281,0.017595124,0.014465436,0.016493584,0.012276806,0.011372239,0.007094815,0.012413451,0.010826547,0.00667686,0.016732596,0.022994808,0.016632098,0.016411379,0.012293626,0.011018842,0.01840632,0.014393622,0.015693751,0.014377581,0.009632026,0.020588689,0.014189039,0.01268986,0.011527245,0.017752924,0.010253676,0.012976315,0.00682198,0.024114362,0.014746522,0.012002671,0.012135481,0.019443364,0.010300915,0.006246642,0.013718174,0.018413337,0.01007144,0.015590699,0.012567709,0.012646477
GT96,0.000517722,0.000368365,0.001670844,0,0.000829834,0.000430667,0.001282635,0.001852239,0,0.000802314,0,0.00251107,0.000651873,0.000732332,0.000705109,0.001222158,0.00020731,0.000496751,0.001032951,0.000775302,0.000603278,0,0,0.000834481,0.000262047,0,0.000439754,0.001361109,0.001645811,0.001226924,0,0.001256795,0.00131504,0.000599767,0.000722165,0.001299685,0.000945975,0.001379272,0.00120295,0.001335372,0.000858082,0.000884416,0.000652239,0,0.000455319,0.001001713,0.002045147,0.000938714,0.000871875,0.001307053,0.000301001,0.001470621,0,0.000976143,0.001152724,0.002219115,0.000683578,0.001128375,0.001136997,0.003014295,0.000589861,0.001250278,0,0.002083218,0.000429205,0,0.001371817,0.000708205,0,0.000754389,0.000837847,0.001076296
GT97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000945975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000204487,0,0,0,0,0,0,0,0,0,0,0,0,0.00032612,0,0,0.000500856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL0,0.02139916,0.018049877,0.023391813,0.01394925,0.012447513,0.017226677,0.009619763,0.019580812,0.01228415,0.014842807,0.020028637,0.02092558,0.009778102,0.012815818,0.015512403,0.00549971,0.014511682,0.010431776,0.014461316,0.016281342,0.015081955,0.011908261,0.027075182,0.013351692,0.014150535,0,0.01824978,0.033687449,0.015909502,0.016972443,0.016392475,0.016966726,0.012273704,0.013194867,0.012637888,0.017545741,0.017500544,0.017240904,0.007217698,0.01669215,0.0094389,0.010612989,0.017936576,0.016411379,0.015480863,0.015025694,0.011248306,0.018774289,0.009881251,0.005881738,0.02167206,0.013970896,0.020270055,0.022939362,0.012679969,0.00998602,0.006152206,0.022567505,0.019897443,0.008289312,0.01327187,0.021004674,0.024270961,0.014582523,0.012876144,0.012493285,0.009602722,0.017705132,0.014100016,0.018608254,0.012148785,0.014799069
PL1,0.002416034,0.004420378,0.001670844,0.006199666,0.002489503,0.008182672,0.001923953,0.008731984,0.001754879,0.003209255,0.008096683,0.001674046,0.002281557,0.001464665,0.015512403,0.006110789,0.006219292,0.000496751,0.011362463,0,0.005429504,0.003800509,0.006987144,0.007510327,0.003668657,0.005283597,0.005277045,0.006124991,0.005760337,0.005316669,0.007431255,0.003770384,0.006575198,0.000599767,0.002527578,0.002274448,0.011824692,0.005517089,0.004811799,0.01001529,0.001287123,0.003095455,0.010109707,0.004376368,0.001821278,0.004006852,0.00613544,0.010012954,0.0034875,0.003921159,0.006622018,0.004411862,0.015057755,0.002928429,0.003458173,0.002219115,0.000683578,0.000564188,0.00682198,0.005275017,0.005308748,0.009502114,0.009708384,0.006596856,0.008154891,0.012493285,0.002743635,0.002832821,0.002685717,0.004526332,0.002932465,0.002421666
